MLP,,,,,,,,,,,,,,,,,
y,acc_mean,acc_std,precision_0_mean,precision_0_std,precision_1_mean,precision_1_std,recall_0_mean,recall_0_std,recall_1_mean,recall_1_std,F1_0_mean,F1_0_std,F1_1_mean,F1_1_std,x_col,,
0.4,0.720670391,0,0.796052632,0,0.296296296,0,0.864285714,0,0.205128205,0,0.828767123,0,0.242424242,0,1,,
0.45,0.720670391,0,0.796052632,0,0.296296296,0,0.864285714,0,0.205128205,0,0.828767123,0,0.242424242,0,1,,
0.5,0.720670391,0,0.796052632,0,0.296296296,0,0.864285714,0,0.205128205,0,0.828767123,0,0.242424242,0,1,,
0.35,0.47028284,0.256892208,0.798026316,0.002024957,0.250298686,0.047192553,0.445300752,0.429869501,0.58974359,0.394607058,0.439861269,0.399008988,0.29010101,0.048915332,2,,
0.45,0.577580215,0.270972064,0.534644802,0.384545213,0.166828259,0.125930231,0.621428571,0.450466956,0.401709402,0.438636701,0.574166698,0.413817958,0.193851559,0.145084618,3,,
0.5,0.577580215,0.270972064,0.534644802,0.384545213,0.166828259,0.125930231,0.621428571,0.450466956,0.401709402,0.438636701,0.574166698,0.413817958,0.193851559,0.145084618,3,,
0.45,0.632190137,0.252536829,0.604351477,0.35342493,0.218871194,0.141865802,0.708355379,0.417300429,0.320512821,0.404170841,0.651751784,0.381913107,0.177303563,0.128432082,4,,
0.5,0.632190137,0.252536829,0.604351477,0.35342493,0.218871194,0.141865802,0.708355379,0.417300429,0.320512821,0.404170841,0.651751784,0.381913107,0.177303563,0.128432082,4,,
0.45,0.667964091,0.236607585,0.648410091,0.327628784,0.241763622,0.134750182,0.762189921,0.387853272,0.266666667,0.376630885,0.700321736,0.354569451,0.159620628,0.120019932,5,,
0.5,0.667964091,0.236607585,0.648410091,0.327628784,0.241763622,0.134750182,0.762189921,0.387853272,0.266666667,0.376630885,0.700321736,0.354569451,0.159620628,0.120019932,5,,
0.5,0.686371591,0.219584551,0.670076591,0.3025463,0.201469685,0.152760108,0.801824934,0.364583769,0.222222222,0.357564334,0.72950134,0.329758259,0.13301719,0.124747698,6,,
0.5,0.70144396,0.206427135,0.690953681,0.28446695,0.232212111,0.160332264,0.823806544,0.341465266,0.208791209,0.332296524,0.751067787,0.309535345,0.142025939,0.117476083,7,,
0.35,0.685769221,0.180986797,0.812628877,0.011163501,0.309568719,0.046239364,0.783811486,0.293510035,0.288461538,0.273907997,0.75068618,0.267638415,0.237726688,0.081619816,8,,
0.35,0.696659728,0.173306759,0.810608384,0.01198529,0.319616639,0.05210188,0.805549327,0.283357229,0.262108262,0.268726882,0.76475445,0.255309793,0.221413622,0.089811624,9,,
0.35,0.709021405,0.168494991,0.811575196,0.011731788,0.287654975,0.108292211,0.824994394,0.274988099,0.235897436,0.266768255,0.778405588,0.245546458,0.199272259,0.108203946,10,,
