Substrate,Product,Boronic Ester,Active Catalyst-Ligand,Catalyst,Ligand,Buried_Vol,PyramidalizationAR,PyramidalizationG,SASA_area,SASA_vol,Sterimol_L,SterimolB_1,Sterimol_B_5,Buried_Sterimol_L,Buried_SterimolB_1,Buried_Sterimol_B_5,Hirshfeld Heavy Atom Charge,CM5 Charge,Hirshfeld Carbon Charge,Hirshfeld Hydrogen Charge,ESP Heavy Atom Charge,ESP Carbon Charge,ESP Hydrogen Charge,NPA Carbon Charge,NPA Hydrogen Charge,MBS Heavy Atom Charge,MBS Carbon Charge,MBS Hydrogen Charge,Mulliken Heavy Charge,Mulliken Carbon Charge,Mulliken Hydrogen Charge,Solvent,Temp,Aliphatic Atom Count,Aliphatic Bond Count,Aliphatic Ring Count,Aromatic Atom Count,Aromatic Bond Count,Aromatic Ring Count,Steric Effect Index,Atomic_Polarizability,Balaban Index,Chain Atom Count,Distance Degree,Dreiding Energy,Eccentricity,Harary Index,Hydrogen Acceptor Count,Hydrogen Acceptor Site Count,Heteroatom Aromatic Ring Count,Hydrogen Donor Count,Hydrogen Donor Site Count,Hyper Wiener Index,Largest Ring Size,Max Projection Area,Max Projection Radius,MaxZ,Moleculare Polarizability,Platt Index,Refractivity,Ring Atom Count,Rot Bond Count,Sigma Electronegativity,Wiener Index,Product_Ratio
"InChI=1S/C11H11NO3/c1-14-10-5-3-4-8-7(10)6-9(12-8)11(13)15-2/h3-6,12H,1-2H3","InChI=1S/C17H22BNO5/c1-16(2)17(3,4)24-18(23-16)10-22-15(20)13-9-11-12(19-13)7-6-8-14(11)21-5/h6-9,19H,10H2,1-5H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.140619,0.202411,-0.009822,0.050861,0.219844,0.009601,0.06802,-0.21341,0.18506,0.278037,-0.080002,0.116798,0.348799,-0.12733,0.15131,6,60,6,6,0,9,10,2,2.403689031,1.359456,1.852663223,6,51,38.22,7,43.57261905,2,4,1,1,1,939,6,67.73057648,6.146826942,4.977518503,22.47836108,44,55.5105,9,3,8.428173974,355,0
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3","InChI=1S/C19H27BN2O3/c1-7-22(8-2)17(23)15-12-13-10-9-11-14(16(13)21-15)20-24-18(3,4)19(5,6)25-20/h9-12,21H,7-8H2,1-6H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.005694,0.003403,-0.055671,0.049977,-0.142511,-0.288901,0.146389,-0.23329,0.21074,-0.020716,-0.128187,0.107471,-0.410758,-0.522366,0.111608,6,60,7,7,0,9,10,2,2.67137032,1.359456,1.683839622,7,44,62.49,5,47.35952381,1,1,1,1,1,1244,6,77.5279665,6.738701698,4.78774883,25.76458684,46,65.391,9,3,8.81145428,438,1
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3","InChI=1S/C19H27BN2O3/c1-7-22(8-2)17(23)16-11-13-9-10-14(12-15(13)21-16)20-24-18(3,4)19(5,6)25-20/h9-12,21H,7-8H2,1-6H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.001498,0.002033,-0.045908,0.047405,-0.165773,-0.075665,0.088843,-0.20032,0.20536,-0.00122,-0.107385,0.106164,-0.188123,-0.31248,0.124357,6,60,7,7,0,9,10,2,2.522739464,1.359456,1.683839622,7,57,62.49,7,47.35952381,1,1,1,1,1,1244,6,77.5279665,6.738701698,4.78774883,25.76458684,46,65.391,9,3,8.420079088,438,0
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3","InChI=1S/C19H27BN2O3/c1-7-22(8-2)17(23)16-12-13-11-14(9-10-15(13)21-16)20-24-18(3,4)19(5,6)25-20/h9-12,21H,7-8H2,1-6H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.0068,-0.00639,-0.051661,0.044861,-0.006847,-0.091653,0.084806,-0.22802,0.20528,-0.017295,-0.121019,0.103723,0.179346,0.057097,0.122248,6,60,7,7,0,9,10,2,2.374117425,1.359456,1.683839622,7,67,62.49,8,47.35952381,1,1,1,1,1,1244,6,77.5279665,6.738701698,4.78774883,25.76458684,46,65.391,9,3,8.318610654,438,0
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3","InChI=1S/C19H27BN2O3/c1-7-22(8-2)17(23)16-12-13-14(10-9-11-15(13)21-16)20-24-18(3,4)19(5,6)25-20/h9-12,21H,7-8H2,1-6H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.00735,0.011741,-0.044965,0.052315,-0.111324,-0.23648,0.125156,-0.18225,0.20614,-0.003751,-0.108573,0.104822,-0.910701,-1.02575,0.115049,6,60,7,7,0,9,10,2,2.509402663,1.359456,1.683839622,7,57,62.49,7,47.35952381,1,1,1,1,1,1244,6,77.5279665,6.738701698,4.78774883,25.76458684,46,65.391,9,3,8.407464402,438,0
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3","InChI=1S/C19H27BN2O3/c1-7-22(8-2)17(23)16-15(13-11-9-10-12-14(13)21-16)20-24-18(3,4)19(5,6)25-20/h9-12,21H,7-8H2,1-6H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.022603,-0.006228,-0.072324,0.049721,-0.165773,-0.363318,0.197545,-0.24541,0.21624,-0.049088,-0.16239,0.113302,0.531343,0.407274,0.124068,6,60,7,7,0,9,10,2,3.602898,2.16,1.683839622,7,47,62.49,6,47.35952381,1,1,1,1,1,1244,6,77.5279665,6.738701698,4.78774883,25.76458684,46,65.391,9,3,8.565708098,438,0
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3","InChI=1S/C19H27BN2O3/c1-6-22(12-11-20-24-18(2,3)19(4,5)25-20)17(23)16-13-14-9-7-8-10-15(14)21-16/h7-10,13,21H,6,11-12H2,1-5H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.00572,0.021847,-0.094447,0.027876,-0.041069,-0.164569,0.030942,-0.58501,0.20162,0.023791,-0.259174,0.087581,0.085744,-0.347928,0.137585,6,60,7,7,0,9,10,2,1.254416244,1.116290667,1.683839622,7,73,62.49,8,47.35952381,1,1,1,1,1,1244,6,77.5279665,6.738701698,4.78774883,25.76458684,46,65.391,9,3,7.508424163,438,0
"InChI=1S/C13H16N2O/c1-3-15(4-2)13(16)12-9-10-7-5-6-8-11(10)14-12/h5-9,14H,3-4H2,1-2H3","InChI=1S/C19H27BN2O3/c1-7-22(13(2)20-24-18(3,4)19(5,6)25-20)17(23)16-12-14-10-8-9-11-15(14)21-16/h8-13,21H,7H2,1-6H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.085407,0.166696,0.002337,0.041112,0.213885,0.289901,-0.056441,-0.17423,0.21119,0.17224,-0.035625,0.112257,0.029677,-0.270166,0.146711,6,60,7,7,0,9,10,2,2.377363884,1.359456,1.683839622,7,67,62.66,8,47.35952381,1,2,1,1,1,1244,6,77.09220588,6.699643767,5.105580736,25.76458684,46,65.391,9,3,8.289178522,438,0
"InChI=1S/C11H11N/c1-2-6-10-8(4-1)9-5-3-7-11(9)12-10/h1-2,4,6,12H,3,5,7H2","InChI=1S/C17H22BNO2/c1-16(2)17(3,4)21-18(20-16)13-9-5-8-12-11-7-6-10-14(11)19-15(12)13/h5,8-9,19H,6-7,10H2,1-4H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.026596,-0.017893,-0.069128,0.042532,-0.128851,-0.255788,0.126937,-0.23921,0.20527,-0.032255,-0.131522,0.099267,-0.535121,-0.638748,0.103627,6,60,3,4,1,9,10,2,2.477371778,1.116290667,1.533692248,0,32,46.46,5,33,0,0,1,1,1,366,6,54.60963148,5.253037403,4.949566737,20.27558075,40,50.0572,12,0,8.089130579,173,1
"InChI=1S/C11H11N/c1-2-6-10-8(4-1)9-5-3-7-11(9)12-10/h1-2,4,6,12H,3,5,7H2","InChI=1S/C17H22BNO2/c1-16(2)17(3,4)21-18(20-16)11-8-9-13-12-6-5-7-14(12)19-15(13)10-11/h8-10,19H,5-7H2,1-4H3",1,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.021019,-0.02047,-0.062456,0.041438,-0.002281,-0.088797,0.086516,-0.21506,0.20301,-0.015152,-0.11691,0.101757,-0.136306,-0.255029,0.118722,6,60,3,4,1,9,10,2,2.370338209,1.116290667,1.533692248,0,36,46.46,6,33,0,0,1,1,1,366,6,54.60963148,5.253037403,4.949566737,20.27558075,40,50.0572,12,0,7.581166532,173,0
