Substrate,type
"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3",furan
"InChI=1S/C5H6O2/c1-6-5-3-2-4-7-5/h2-4H,1H3",furan
"InChI=1S/C5H6O2/c1-6-5-3-2-4-7-5/h2-4H,1H3",furan
"InChI=1S/C5H6O2/c1-6-5-3-2-4-7-5/h2-4H,1H3",furan
"InChI=1S/C5H6O2/c1-6-5-3-2-4-7-5/h2-4H,1H3",furan
"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",pyrrole
"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",pyrrole
"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",pyrrole
"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",pyrrole
"InChI=1S/C6H7NO2/c1-9-6(8)5-3-2-4-7-5/h2-4,7H,1H3",pyrrole
"InChI=1S/C6H7NO2/c1-9-6(8)5-3-2-4-7-5/h2-4,7H,1H3",pyrrole
"InChI=1S/C6H7NO2/c1-9-6(8)5-3-2-4-7-5/h2-4,7H,1H3",pyrrole
"InChI=1S/C6H7NO2/c1-9-6(8)5-3-2-4-7-5/h2-4,7H,1H3",pyrrole
"InChI=1S/C9H9N/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6,10H,1H3",indole
"InChI=1S/C9H9N/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6,10H,1H3",indole
"InChI=1S/C9H9N/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6,10H,1H3",indole
"InChI=1S/C9H9N/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6,10H,1H3",indole
"InChI=1S/C9H9N/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6,10H,1H3",indole
"InChI=1S/C9H9N/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6,10H,1H3",indole
"InChI=1S/C9H8ClN/c1-6-4-7-5-8(10)2-3-9(7)11-6/h2-5,11H,1H3",indole
"InChI=1S/C9H8ClN/c1-6-4-7-5-8(10)2-3-9(7)11-6/h2-5,11H,1H3",indole
"InChI=1S/C9H8ClN/c1-6-4-7-5-8(10)2-3-9(7)11-6/h2-5,11H,1H3",indole
"InChI=1S/C9H8ClN/c1-6-4-7-5-8(10)2-3-9(7)11-6/h2-5,11H,1H3",indole
"InChI=1S/C9H8ClN/c1-6-4-7-5-8(10)2-3-9(7)11-6/h2-5,11H,1H3",indole
"InChI=1S/C10H11NO/c1-7-5-8-6-9(12-2)3-4-10(8)11-7/h3-6,11H,1-2H3",indole
